Waypoint Index,X,Y
0,48,-79
1,176,13
2,107,-29
3,-118,-78
4,-22,-51
5,-24,-82
6,-65,-51
7,48,20
8,59,42
9,-171,-31
10,4,106
11,-56,106
12,118,84
13,61,64
14,9,86
15,-81,101
16,-16,80
17,-37,-4
18,-25,18
19,-77,-3
20,-92,18
21,-66,54
22,-14,39
23,-39,56
24,-170,18
25,-132,20
26,-185,-12
27,-144,78
28,-107,55

Path Index,Waypoint Indices,Coordinates
0,"[0, 12, 11, 13, 10, 14, 9, 15, 8, 16, 7, 17, 6, 18, 5, 19, 4, 20, 3, 21, 2, 22, 1, 0]","[array([ 48, -79]), array([118,  84]), array([-56, 106]), array([61, 64]), array([  4, 106]), array([ 9, 86]), array([-171,  -31]), array([-81, 101]), array([59, 42]), array([-16,  80]), array([48, 20]), array([-37,  -4]), array([-65, -51]), array([-25,  18]), array([-24, -82]), array([-77,  -3]), array([-22, -51]), array([-92,  18]), array([-118,  -78]), array([-66,  54]), array([107, -29]), array([-14,  39]), array([176,  13]), array([ 48, -79])]"
